trade_id,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,points_gross,costs_points,points,pct,pnl_usd,bars_held,mae_points,mfe_points,entry_reason,ind_close,ind_ema_fast,ind_ema_slow,ind_rsi,ind_volume
1,long,2026-06-23 12:45:00-04:00,29902.5,2026-06-23 12:45:00-04:00,29882.5,SL,-20.0,1.5,-21.5,-0.0719,-430.0,1,-20.0,4.75,"Cruce alcista EMA + RSI 50.9 en (50, 70)",29900.5,29863.64,29863.45,50.92,2781.0
2,short,2026-06-23 12:55:00-04:00,29854.75,2026-06-23 12:55:00-04:00,29874.75,SL,-20.0,1.5,-21.5,-0.072,-430.0,1,-20.0,18.0,"Cruce bajista EMA + RSI 45.6 en (30, 50)",29854.75,29861.8,29862.65,45.64,2766.0
3,long,2026-06-23 13:35:00-04:00,29873.0,2026-06-23 13:35:00-04:00,29853.0,SL,-20.0,1.5,-21.5,-0.072,-430.0,1,-20.0,23.5,"Cruce alcista EMA + RSI 50.1 en (50, 70)",29873.0,29857.97,29857.52,50.11,3415.0
4,short,2026-06-23 13:40:00-04:00,29850.0,2026-06-23 13:50:00-04:00,29810.0,TP,40.0,1.5,38.5,0.129,770.0,3,-7.5,40.0,"Cruce bajista EMA + RSI 47.0 en (30, 50)",29850.75,29856.52,29856.91,47.01,2916.0
5,long,2026-06-24 09:35:00-04:00,29809.0,2026-06-24 09:35:00-04:00,29789.0,SL,-20.0,1.5,-21.5,-0.0721,-430.0,1,-20.0,32.5,"Cruce alcista EMA + RSI 57.9 en (50, 70)",29808.25,29713.77,29712.92,57.93,18783.0
6,short,2026-06-24 09:45:00-04:00,29662.5,2026-06-24 09:45:00-04:00,29682.5,SL,-20.0,1.5,-21.5,-0.0725,-430.0,1,-20.0,100.25,"Cruce bajista EMA + RSI 45.4 en (30, 50)",29663.75,29705.76,29709.55,45.4,11906.0
7,long,2026-06-24 10:40:00-04:00,29726.0,2026-06-24 10:40:00-04:00,29766.0,TP,40.0,1.5,38.5,0.1295,770.0,1,-15.75,40.0,"Cruce alcista EMA + RSI 51.9 en (50, 70)",29726.25,29698.71,29697.42,51.94,5711.0
8,short,2026-06-24 12:35:00-04:00,29713.25,2026-06-24 12:35:00-04:00,29733.25,SL,-20.0,1.5,-21.5,-0.0724,-430.0,1,-20.0,63.25,"Cruce bajista EMA + RSI 43.8 en (30, 50)",29713.25,29757.03,29760.32,43.8,3480.0
9,short,2026-06-25 15:10:00-04:00,29706.75,2026-06-25 15:10:00-04:00,29666.75,TP,40.0,1.5,38.5,0.1296,770.0,1,-7.75,40.0,"Cruce bajista EMA + RSI 45.4 en (30, 50)",29705.75,29752.55,29756.41,45.44,3262.0
10,long,2026-06-26 11:35:00-04:00,29582.5,2026-06-26 11:35:00-04:00,29622.5,TP,40.0,1.5,38.5,0.1301,770.0,1,0.0,40.0,"Cruce alcista EMA + RSI 53.1 en (50, 70)",29582.25,29541.28,29537.86,53.14,6911.0
11,short,2026-06-26 13:55:00-04:00,29575.5,2026-06-26 14:10:00-04:00,29535.5,TP,40.0,1.5,38.5,0.1302,770.0,4,-6.5,40.0,"Cruce bajista EMA + RSI 47.1 en (30, 50)",29576.25,29597.95,29600.28,47.12,1746.0
12,long,2026-06-29 09:35:00-04:00,29762.25,2026-06-29 09:35:00-04:00,29742.25,SL,-20.0,1.5,-21.5,-0.0722,-430.0,1,-20.0,5.5,"Cruce alcista EMA + RSI 64.6 en (50, 70)",29762.25,29511.66,29501.53,64.59,14642.0
13,short,2026-06-29 10:15:00-04:00,29330.0,2026-06-29 10:15:00-04:00,29350.0,SL,-20.0,1.5,-21.5,-0.0733,-430.0,1,-20.0,56.25,"Cruce bajista EMA + RSI 38.3 en (30, 50)",29330.75,29548.19,29552.34,38.32,11164.0
14,long,2026-06-29 10:45:00-04:00,29578.0,2026-06-29 10:45:00-04:00,29558.0,SL,-20.0,1.5,-21.5,-0.0727,-430.0,1,-20.0,6.25,"Cruce alcista EMA + RSI 52.1 en (50, 70)",29580.25,29548.57,29544.4,52.13,4621.0
15,long,2026-07-01 15:25:00-04:00,30207.0,2026-07-01 15:25:00-04:00,30187.0,SL,-20.0,1.5,-21.5,-0.0712,-430.0,1,-20.0,1.75,"Cruce alcista EMA + RSI 54.9 en (50, 70)",30206.5,30179.4,30178.15,54.88,2394.0
